Symbol,Company Name,Industry,Market Cap
KRNT,Kornit Digital,Machinery,7.17B
KRNY,Kearny Financial,Thrifts & Mortgage Finance,993.85M
KRO,Kronos Worldwide,Chemicals,1.51B
KRON,Kronos Bio,Biotechnology,943.95M
KROS,Keros Therapeutics,Biotechnology,909.94M
KRP,Kimbell Royalty Partners,"Oil, Gas & Consumable Fuels",913.37M
KRT,Karat Packaging,Packaging & Containers,438.65M
KRTX,Karuna Therapeutics,Biotechnology,3.66B
KRUS,Kura Sushi USA,"Hotels, Restaurants & Leisure",443.55M
KRYS,Krystal Biotech,Biotechnology,1.08B
KSI,Kadem Sustainable Impact,Shell Companies,212.41M
KSPN,Kaspien Holdings,Specialty Retail,35.86M
KSS,Kohl's,Multiline Retail,7.01B
KSU,Kansas City Southern,Road & Rail,27.01B
KT,KT Corporation,Diversified Telecommunication Services,6.20B
KTB,Kontoor Brands,"Textiles, Apparel & Luxury Goods",2.85B
KTCC,Key Tronic,"Electronic Equipment, Instruments & C...",69.31M
KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,2.74B
KTRA,Kintara Therapeutics,Biotechnology,37.34M
KTTA,Pasithea Therapeutics,Biotechnology,36.56M
KUKE,Kuke Music,Entertainment,163.21M
KULR,KULR Technology Group,Electronic Components,211.54M
KURA,Kura Oncology,Biotechnology,1.19B
KURI,Alkuri Global Acquisition,Shell Companies,431.68M
KVHI,KVH Industries,Communications Equipment,193.93M
KVSA,Khosla Ventures Acquisition,Shell Companies,401.46M
KVSB,Khosla Ventures Acquisition II,Shell Companies,478.63M
KVSC,Khosla Ventures Acquisition III,Shell Companies,663.34M
KW,Kennedy-Wilson Holdings,Real Estate Management & Development,3.45B
KWAC,Kingswood Acquisition,Shell Companies,146.24M
KWR,Quaker Chemical,Chemicals,4.21B
KXIN,Kaixin Auto,Specialty Retail,332.83M
KYMR,Kymera Therapeutics,Biotechnology,2.92B
KZIA,Kazia Therapeutics,Biotechnology,143.59M
KZR,Kezar Life Sciences,Biotechnology,400.48M
L,Loews,Insurance,14.69B
LAAA,Lakeshore Acquisition I,Shell Companies,63.70M
LABP,Landos Biopharma,Biotechnology,589.53M
LAC,Lithium Americas,Metals & Mining,3.07B
LAD,Lithia Motors,Specialty Retail,10.31B
LADR,Ladder Capital,Mortgage Real Estate Investment Trus...,1.51B
LAIX,LAIX Inc.,Diversified Consumer Services,43.92M
LAKE,Lakeland Industries,"Textiles, Apparel & Luxury Goods",159.16M
LAMR,Lamar Advertising,Equity Real Estate Investment Trusts...,12.05B
LANC,Lancaster Colony,Food Products,4.74B
LAND,Gladstone Land,Equity Real Estate Investment Trusts...,728.36M
LARK,Landmark Bancorp,Banks,135.61M
LASR,"nLIGHT, Inc.","Electronic Equipment, Instruments & C...",1.16B
LAUR,Laureate Education,Diversified Consumer Services,3.26B
LAW,CS Disco,Software-Application,2.71B
LAWS,Lawson Products,Trading Companies & Distributors,469.90M
LAZ,Lazard,Capital Markets,5.23B
LAZR,Luminar Technologies,Software-Application,5.57B
LAZY,Lazydays Holdings,Specialty Retail,256.16M
LBAI,Lakeland Bancorp,Banks,901.81M
LBC,Luther Burbank,Thrifts & Mortgage Finance,684.82M
LBPH,Longboard Pharmaceuticals,Biotechnology,151.50M
LBPS,4D pharma,Biotechnology,160.02M
LBRDA,Liberty Broadband,Media,30.45B
LBRDK,Liberty Broadband,Media,30.33B
LBRT,Liberty Oilfield Services,Energy Equipment & Services,2.78B
LBTYA,Liberty Global,Media,16.25B
LBTYB,Liberty Global,Media,17.04B
LBTYK,Liberty Global,Media,16.08B
LC,LendingClub,Consumer Finance,3.37B
LCA,Landcadia Holdings IV,Shell Companies,609.37M
LCAA,L Catterton Asia Acquisition,Shell Companies,349.18M
LCAP,Lionheart Acquisition II,Shell Companies,291.65M
LCI,Lannett Company,Pharmaceuticals,106.96M
LCID,Lucid Group,Auto Manufacturers,38.96B
LCII,LCI Industries,Auto Components,3.59B
LCNB,LCNB Corporation,Banks,218.26M
LCTX,Lineage Cell Therapeutics,Biotechnology,393.53M
LCUT,Lifetime Brands,Household Durables,402.28M
LDHA,LDH Growth I,Shell Companies,281.75M
LDI,loanDepot,Mortgage Finance,1.98B
LDOS,Leidos Holdings,IT Services,14.11B
LE,Lands' End,Internet & Direct Marketing Retail,745.70M
LEA,Lear Corporation,Auto Components,10.53B
LEAP,Ribbit LEAP,Shell Companies,592.65M
LECO,Lincoln Electric Holdings,Machinery,8.30B
LEDS,SemiLEDs,Semiconductors & Semiconductor Equipment,33.38M
LEE,Lee Enterprises,Media,126.14M
LEG,Leggett & Platt,Household Durables,6.16B
LEGA,Lead Edge Growth Opportunities,Shell Companies,291.86M
LEGH,Legacy Housing,Household Durables,408.78M
LEGN,Legend Biotech,Biotechnology,7.51B
LEGO,Legato Merger Corp,Shell Companies,337.92M
LEJU,Leju Holdings,Internet & Direct Marketing Retail,146.37M
LEN,Lennar,Household Durables,30.09B
LEN.B,Lennar,Construction & Engineering,29.40B
LESL,Leslie's,Home Improvement Retail,3.94B
LEU,Centrus Energy,"Oil, Gas & Consumable Fuels",698.09M
LEV,Lion Electric,Farm & Heavy Construction Machinery,2.05B
LEVI,Levi Strauss & Co.,"Textiles, Apparel & Luxury Goods",9.95B
LEVL,Level One Bancorp,Banks,224.34M
LEXX,Lexaria Bioscience,Biotechnology,38.37M
LFC,China Life Insurance,Insurance,113.80B
LFG,Archaea Energy,Utilities-Renewable,2.05B
LFMD,LifeMD,Pharmaceutical Retailers,158.78M
LFST,Lifestance Health Group,Medical Care Facilities,4.25B
LFT,Lument Finance Trust,REIT-Mortgage,100.66M
LFTR,Lefteris Acquisition,Shell Companies,252.93M
LFUS,Littelfuse,"Electronic Equipment, Instruments & C...",6.96B
LFVN,LifeVantage Corporation,Personal Products,89.34M
LGAC,Lazard Growth Acquisition I,Shell Companies,700.06M
LGF.A,Lions Gate Entertainment,Entertainment,3.08B
LGF.B,Lions Gate Entertainment,Entertainment,3.09B
LGHL,Lion Group Holding,Asset Management,86.57M
LGIH,LGI Homes,Household Durables,3.46B
LGL,LGL Group,"Electronic Equipment, Instruments & C...",67.51M
LGND,Ligand Pharmaceuticals,Biotechnology,2.14B
LGO,Largo Resources,Other Industrial Metals & Mining,731.96M
LGV,Longview Acquisition II,Shell Companies,855.60M
LGVN,Longeveron,Biotechnology,76.08M
LH,LabCorp,Health Care Providers & Services,26.22B
LHAA,Lerer Hippeau Acquisition,Shell Companies,286.19M
LHC,Leo Holdings II,Shell Companies,457.03M
LHCG,LHC Group,Health Care Providers & Services,4.41B
LHDX,Lucira Health,Medical Devices,219.42M
LHX,L3Harris Technologies,Aerospace & Defense,48.04B
LI,Li Auto,Automobiles,31.65B
LICY,Li-Cycle,Waste Management,1.86B
LIDR,AEye,Auto Parts,685.55M
LIFE,aTyr Pharma,Biotechnology,238.23M
LII,Lennox International,Building Products,11.64B
LIII,Leo Holdings III,Shell Companies,342.03M
LILA,Liberty Latin America,Diversified Telecommunication Services,2.94B
LILAK,Liberty Latin America,Media,2.93B
LILM,Lilium,Aerospace & Defense,2.60B
LIN,Linde,Chemicals,159.04B
LINC,Lincoln Educational Services,Diversified Consumer Services,187.73M
LIND,Lindblad Expeditions,"Hotels, Restaurants & Leisure",754.08M
LIQT,LiqTech International,Machinery,122.17M
LITB,LightInTheBox,Internet & Direct Marketing Retail,186.09M
LITE,Lumentum Holdings,Communications Equipment,6.18B
LITT,Logistics Innovation Technologies,Shell Companies,379.75M
LIVE,Live Ventures,Household Durables,53.71M
LIVN,LivaNova,Health Care Equipment & Supplies,4.46B
LIXT,Lixte Biotechnology,Biotechnology,26.12M
LIZI,Lizhi Inc.,Internet Content & Information,162.40M
LJAQ,LightJump Acquisition,Shell Companies,170.57M
LJPC,La Jolla Pharmaceutical,Biotechnology,105.55M
LKCO,Luokung Technology,Interactive Media & Services,405.35M
LKFN,Lakeland Financial,Banks,1.90B
LKQ,LKQ Corporation,Distributors,16.27B
LL,Lumber Liquidators,Specialty Retail,537.14M
LLL,JX Luxventure,"Textiles, Apparel & Luxury Goods",12.91M
LLNW,Limelight Networks,IT Services,358.50M
LLY,Eli Lilly,Pharmaceuticals,230.03B
LMACA,Liberty Media Acquisition,Shell Companies,723.78M
LMAO,LMF Acquisition Opportunities,Shell Companies,130.15M
LMAT,LeMaitre Vascular,Health Care Equipment & Supplies,1.15B
LMB,Limbach Holdings,Construction & Engineering,65.71M
LMDX,LumiraDx,Diagnostics & Research,19.75M
LMFA,LM Funding America,Diversified Financial Services,25.72M
LMND,Lemonade,Insurance,4.03B
LMNL,Liminal BioSciences,Biotechnology,58.69M
LMNR,Limoneira,Food Products,286.15M
LMPX,LMP Automotive Holdings,Specialty Retail,141.47M
LMRK,Landmark Infrastructure Partners,Real Estate Management & Development,419.04M
LMST,Limestone Bancorp,Banks,140.35M
LMT,Lockheed Martin,Aerospace & Defense,101.07B
LNC,Lincoln National,Insurance,13.67B
LND,BrasilAgro,Food Products,608.09M
LNDC,Landec,Food Products,281.95M
LNFA,L&F Acquisition,Shell Companies,215.41M
LNG,Cheniere Energy,"Oil, Gas & Consumable Fuels",28.39B
LNN,Lindsay Corporation,Machinery,1.76B
LNSR,"LENSAR, Inc",Medical Devices,82.39M
LNT,Alliant Energy,Electric Utilities,13.85B
LNTH,Lantheus Holdings,Health Care Equipment & Supplies,1.57B
LOAN,Manhattan Bridge Capital,Mortgage Real Estate Investment Trus...,73.57M
LOB,Live Oak Bancshares,Banks,3.06B
LOCO,El Pollo Loco,"Hotels, Restaurants & Leisure",555.43M
LODE,Comstock Mining,Metals & Mining,157.25M
LOGC,LogicBio Therapeutics,Biotechnology,126.38M
LOGI,Logitech International,"Technology Hardware, Storage & Periph...",14.83B
LOKB,Live Oak Acquisition II,Shell Companies,427.57M
LOKM,Live Oak Mobility Acquisition,Shell Companies,306.45M
LOMA,Loma Negra,Construction Materials,1.68B
LOOP,Loop Industries,Chemicals,581.49M
LOPE,Grand Canyon Education,Diversified Consumer Services,3.99B
LORL,Loral Space & Communications,Media,1.40B
LOTZ,CarLotz,Auto & Truck Dealerships,420.58M
LOV,Spark Networks SE,Interactive Media & Services,71.60M
LOVE,Lovesac,Household Durables,1.09B
LOW,Lowe's,Specialty Retail,153.87B
LPCN,Lipocine,Pharmaceuticals,103.30M
LPG,Dorian LPG,"Oil, Gas & Consumable Fuels",508.58M
LPI,Laredo Petroleum,"Oil, Gas & Consumable Fuels",1.17B
LPL,LG Display,"Electronic Equipment, Instruments & C...",5.47B
LPLA,LPL Financial Holdings,Capital Markets,13.84B
LPRO,Open Lending Corp.,Capital Markets,4.42B
LPSN,LivePerson,Software,4.12B
LPTH,LightPath Technologies,"Electronic Equipment, Instruments & C...",54.53M
LPTX,Leap Therapeutics,Biotechnology,274.92M
LPX,Louisiana-Pacific,Paper & Forest Products,6.32B
LQDA,Liquidia Technologies,Pharmaceuticals,182.95M
LQDT,Liquidity Services,Internet & Direct Marketing Retail,697.04M
LRCX,Lam Research,Semiconductors & Semiconductor Equipment,80.07B
LRFC,Logan Ridge Finance,Asset Management,67.73M
LRMR,Larimar Therapeutics,Biotechnology,214.65M
LRN,Stride,Diversified Consumer Services,1.38B
LSBK,Lake Shore Bancorp,Thrifts & Mortgage Finance,85.59M
LSCC,Lattice Semiconductor,Semiconductors & Semiconductor Equipment,9.19B
LSEA,Landsea Homes,Real Estate-Development,411.90M
LSF,Laird Superfood,Packaged Foods,157.60M
LSI,Life Storage,Equity Real Estate Investment Trusts...,10.36B
LSPD,Lightspeed Commerce,Software,14.56B
LSTR,Landstar System,Road & Rail,6.33B
LTBR,Lightbridge,Professional Services,45.71M
LTC,LTC Properties,Equity Real Estate Investment Trusts...,1.35B
LTCH,Latch,Software-Application,1.31B
LTH,Life Time Group,Leisure,3.10B
LTHM,Livent,Chemicals,4.32B
LTRN,Lantern Pharma,Biotechnology,111.95M
LTRPA,Liberty TripAdvisor Holdings,Interactive Media & Services,344.69M
LTRPB,Liberty TripAdvisor Holdings,Interactive Media & Services,347.64M
LTRX,Lantronix,Communications Equipment,204.06M
LU,Lufax Holding,Consumer Finance,16.33B
LUB,"Luby's, Inc.","Hotels, Restaurants & Leisure",153.77M
LUCD,Lucid Diagnostics,Medical Devices,343.37M
LULU,Lululemon Athletica,"Textiles, Apparel & Luxury Goods",55.22B
LUMN,Lumen Technologies,Diversified Telecommunication Services,13.40B
LUMO,Lumos Pharma,Biotechnology,77.31M
LUNA,Luna Innovations,"Electronic Equipment, Instruments & C...",279.89M
LUNG,Pulmonx,Health Care Equipment & Supplies,1.42B
LUV,Southwest Airlines,Airlines,29.77B
LUXA,Lux Health Tech Acquisition,Shell Companies,423.49M
LVO,LiveOne,Entertainment,233.47M
LVOX,LiveVox,Software-Infrastructure,640.63M
LVRA,Levere Holdings,Shell Companies,328.04M
LVS,Las Vegas Sands,"Hotels, Restaurants & Leisure",30.34B
LVTX,LAVA Therapeutics,Biotechnology,176.56M
LW,Lamb Weston,Food Products,8.21B
LWAY,Lifeway Foods,Food Products,85.20M
LWLG,Lightwave Logic,Chemicals,961.16M
LX,LexinFintech Holdings,Consumer Finance,1.02B
LXEH,Lixiang Education,Education & Training Services,109.60M
LXFR,Luxfer Holdings,Machinery,588.54M
LXP,Lexington Realty Trust,Equity Real Estate Investment Trusts...,4.08B
LXRX,Lexicon Pharmaceuticals,Biotechnology,785.94M
LXU,LSB Industries,Chemicals,802.30M
LYB,LyondellBasell Industries,Chemicals,32.91B
LYEL,Lyell Immunopharma,Biotechnology,3.13B
LYFT,Lyft,Road & Rail,17.29B
LYG,Lloyds Banking Group,Banks,47.65B
LYL,Dragon Victory International,Consumer Finance,29.47M
LYRA,Lyra Therapeutics,Biotechnology,102.06M
LYTS,LSI Industries,Electrical Equipment,213.21M
LYV,Live Nation Entertainment,Entertainment,22.96B
LZ,LegalZoom.com,Internet Content & Information,5.03B
LZB,La-Z-Boy Incorporated,Household Durables,1.47B
M,Macy's,Multiline Retail,8.39B
MA,Mastercard,IT Services,353.38B
MAA,Mid-America Apartment Communities,Equity Real Estate Investment Trusts...,22.82B
MAC,Macerich,Equity Real Estate Investment Trusts...,3.87B
MACA,Moringa Acquisition,Shell Companies,260.03M
MACC,Mission Advancement,Shell Companies,97.00M
MACK,Merrimack Pharmaceuticals,Biotechnology,67.72M
MACQ,MCAP Acquisition,Shell Companies,27.11M
MACU,Mallard Acquisition,Shell Companies,137.36M
MAG,MAG Silver,Metals & Mining,1.64B
MAIN,Main Street Capital,Capital Markets,2.95B
MAN,ManpowerGroup,Professional Services,6.12B
MANH,Manhattan Associates,Software,10.28B
MANT,ManTech International,IT Services,3.29B
MANU,Manchester United,Entertainment,2.70B
MAPS,WM Technology,Software-Application,1.78B
MAQC,Maquia Capital Acquisition,Shell Companies,259.03M
MAR,Marriott International,"Hotels, Restaurants & Leisure",51.85B
MARA,Marathon Digital Holdings,IT Services,5.13B
MARK,Remark Holdings,Internet & Direct Marketing Retail,89.44M
MARPS,Marine Petroleum Trust,"Oil, Gas & Consumable Fuels",10.60M
MAS,Masco,Building Products,14.74B
MASI,Masimo,Health Care Equipment & Supplies,15.22B
MASS,908 Devices,Medical Devices,890.37M
MAT,Mattel,Leisure Products,7.00B
MATW,Matthews International,Commercial Services & Supplies,1.10B
MATX,Matson,Marine,3.60B
MAX,MediaAlpha,Internet Content & Information,748.60M
MAXN,Maxeon Solar Technologies,Semiconductors & Semiconductor Equipment,786.70M
MAXR,Maxar Technologies,Aerospace & Defense,2.14B
MAYS,J.W. Mays,Real Estate Management & Development,68.74M
MBAC,M3-Brigade Acquisition II,Shell Companies,496.00M
MBCN,Middlefield Banc,Banks,151.14M
MBI,MBIA Inc.,Insurance,747.54M
MBII,Marrone Bio Innovations,Chemicals,159.40M
MBIN,Merchants Bancorp,Thrifts & Mortgage Finance,1.20B
MBIO,Mustang Bio,Biotechnology,204.73M
MBOT,Microbot Medical,Health Care Equipment & Supplies,50.97M
MBRX,Moleculin Biotech,Biotechnology,77.38M
MBT,Mobile TeleSystems PJSC,Wireless Telecommunication Services,8.28B
MBTC,Nocturne Acquisition,Shell Companies,148.10M
MBUU,Malibu Boats,Leisure Products,1.48B
MBWM,Mercantile Bank,Banks,535.11M
MC,Moelis & Company,Capital Markets,4.86B
MCAD,Mountain Crest Acquisition II,Shell Companies,75.58M
MCAE,Mountain Crest Acquisition III,Shell Companies,69.13M
MCAF,Mountain Crest Acquisition IV,Shell Companies,69.71M
MCB,Metropolitan Bank Holding,Banks,922.70M
MCBC,Macatawa Bank,Banks,278.33M
MCBS,MetroCity Bankshares,Banks,557.93M
MCD,McDonald's,"Hotels, Restaurants & Leisure",180.91B
MCF,Contango Oil & Gas,"Oil, Gas & Consumable Fuels",895.25M
MCFE,McAfee,Software,9.36B
MCFT,MasterCraft Boat Holdings,Leisure Products,508.86M
MCG,Membership Collective Group,Lodging,2.41B
MCHP,Microchip Technology,Semiconductors & Semiconductor Equipment,40.45B
MCHX,Marchex,Media,130.46M
MCK,McKesson,Health Care Providers & Services,31.03B
MCMJ,Merida Merger Corp. I,Shell Companies,163.88M
MCO,Moody's,Capital Markets,69.64B
MCRB,Seres Therapeutics,Biotechnology,578.74M
MCRI,Monarch Casino & Resort,"Hotels, Restaurants & Leisure",1.26B
MCS,Marcus Corporation,Entertainment,588.04M
MCW,Mister Car Wash,Personal Services,5.14B
MCY,Mercury General,Insurance,3.05B
MD,"MEDNAX, Inc.",Health Care Providers & Services,2.24B
MDB,MongoDB,IT Services,32.59B
MDC,M.D.C. Holdings,Household Durables,3.46B
MDGL,Madrigal Pharmaceuticals,Biotechnology,1.43B
MDGS,Medigus,Health Care Equipment & Supplies,34.58M
MDH,MDH Acquisition,Shell Companies,340.17M
MDIA,Mediaco Holding,Broadcasting,64.34M
MDJH,MDJM Ltd.,Real Estate Management & Development,47.99M
MDLA,Medallia,Software,5.46B
MDLZ,Mondelez International,Food Products,83.67B
MDNA,Medicenna Therapeutics,Biotechnology,129.84M
MDP,Meredith Corporation,Media,2.67B
MDRR,Medalist Diversified REIT,Equity Real Estate Investment Trusts...,19.52M
MDRX,Allscripts Healthcare Solutions,Health Care Technology,1.78B
MDT,Medtronic,Health Care Equipment & Supplies,162.79B
MDU,MDU Resources Group,Multi-Utilities,6.23B
MDVL,MedAvail,Drug Manufacturers-Specialty & Generic,89.07M
MDWD,MediWound,Pharmaceuticals,91.82M
MDWT,Midwest Holding,Insurance-Life,142.03M
MDXG,MiMedx Group,Biotechnology,776.93M
ME,23andMe,Diagnostics & Research,3.67B
MEAC,Mercury Ecommerce Acquisition,Shell Companies,214.16M
MEC,Mayville Engineering,Metals & Mining,388.22M
MED,Medifast,Personal Products,2.30B
MEDP,Medpace Holdings,Life Sciences Tools & Services,6.70B
MEDS,Trxade Group,Pharmaceutical Retailers,36.89M
MEG,Montrose Environmental Group,Media (discontinued effective close o...,1.78B
MEI,Methode Electronics,"Electronic Equipment, Instruments & C...",1.58B
MEIP,MEI Pharma,Biotechnology,314.37M
MEKA,MELI Kaszek Pioneer,Shell Companies,477.30M
MELI,MercadoLibre,Internet & Direct Marketing Retail,79.17B
MEOH,Methanex,Chemicals,3.71B
MERC,Mercer International,Paper & Forest Products,698.02M
MESA,Mesa Air Group,Airlines,270.98M
MESO,Mesoblast,Biotechnology,775.91M
MET,MetLife,Insurance,55.87B
METC,Ramaco Resources,Metals & Mining,670.02M
METX,Meten Edtechx Education,Education & Training Services,41.11M
MF,Missfresh,Grocery Stores,875.88M
MFA,MFA Financial,Mortgage Real Estate Investment Trus...,2.05B
MFC,Manulife Financial,Insurance,39.15B
MFG,Mizuho Financial Group,Banks,33.97B
MFGP,Micro Focus International,Software,1.72B
MFH,Mercurity Fintech Holding,Software,26.34M
MFIN,Medallion Financial,Consumer Finance,213.78M
MG,MISTRAS Group,Professional Services,284.02M
MGA,Magna International,Auto Components,25.32B
MGEE,MGE Energy,Electric Utilities,2.71B
MGI,MoneyGram International,IT Services,713.58M
MGIC,Magic Software Enterprises,Software,1.07B
MGLN,Magellan Health,Health Care Providers & Services,2.48B
MGM,MGM Resorts,"Hotels, Restaurants & Leisure",23.25B
MGNI,Magnite,Internet & Direct Marketing Retail,3.92B
MGNX,MacroGenics,Biotechnology,1.22B
MGP,MGM Growth Properties,Equity Real Estate Investment Trusts...,6.33B
MGPI,MGP Ingredients,Beverages,1.42B
MGRC,McGrath RentCorp,Commercial Services & Supplies,1.81B
MGTA,Magenta Therapeutics,Biotechnology,380.69M
MGTX,MeiraGTx Holdings,Biotechnology,822.48M
MGY,Magnolia Oil & Gas,"Oil, Gas & Consumable Fuels",4.79B
MGYR,Magyar Bancorp,Thrifts & Mortgage Finance,81.98M
MHH,Mastech Digital,Professional Services,198.91M
MHK,Mohawk Industries,Household Durables,12.82B
MHLD,Maiden Holdings,Insurance,273.95M
MHO,M/I Homes,Household Durables,1.73B
MIC,Macquarie Infrastructure,Transportation Infrastructure,325.76M
MICT,"MICT, Inc.",Aerospace & Defense,166.44M
MIDD,Middleby Corporation,Machinery,9.44B
MIGI,Mawson Infrastructure Group,Information Technology Services,663.10M
MILE,Metromile,Insurance-Property & Casualty,409.19M
MIME,Mimecast,Software,4.34B
MIMO,Airspan Networks,Telecom Services,468.16M
MIND,MIND Technology,Energy Equipment & Services,24.10M
MINM,Minim,Communication Equipment,77.23M
MIRM,Mirum Pharmaceuticals,Biotechnology,522.43M
MIRO,Miromatrix Medical,Biotechnology,168.22M
MIST,Milestone Pharmaceuticals,Pharmaceuticals,176.09M
MIT,Mason Industrial Technology,Shell Companies,610.00M
MITA,Coliseum Acquisition,Shell Companies,183.00M
MITC,Meat-Tech 3D,Packaged Foods,88.23M
MITK,Mitek Systems,Software,836.46M
MITO,Stealth BioTherapeutics,Biotechnology,81.19M
MITQ,Moving iMage Technologies,n/a,26.86M
MITT,AG Mortgage Investment Trust,Mortgage Real Estate Investment Trus...,200.51M
MIXT,MiX Telematics,Software,299.81M
MKC,McCormick,Food Products,21.36B
MKD,Molecular Data,Chemicals,74.41M
MKFG,Markforged,Computer Hardware,1.27B
MKL,Markel,Insurance,17.75B
MKSI,MKS Instruments,Semiconductors & Semiconductor Equipment,7.97B
MKTW,MarketWise,Software-Application,2.33B
MKTX,MarketAxess Holdings,Capital Markets,15.39B
MKTY,Mechanical Technology,"Electronic Equipment, Instruments & C...",145.00M
ML,MoneyLion,Software-Application,1.46B
MLAB,Mesa Laboratories,Health Care Equipment & Supplies,1.57B
MLAC,Malacca Straits Acquisition,Shell Companies,178.79M
MLCO,Melco Resorts & Entertainment,"Hotels, Restaurants & Leisure",5.28B
MLHR,Herman Miller,Commercial Services & Supplies,2.89B
MLI,Mueller Industries,Machinery,2.47B
MLM,Martin Marietta,Construction Materials,22.82B
MLNK,MeridianLink,Software-Application,1.93B
MLP,Maui Land & Pineapple,Real Estate Management & Development,202.10M
MLR,Miller Industries,Machinery,386.02M
MLSS,Milestone Scientific,Health Care Equipment & Supplies,144.41M
MLVF,Malvern Bancorp,Banks,126.68M
MMAT,Meta Materials,Electronic Components,1.36B
MMC,Marsh & McLennan,Insurance,81.98B
MMI,Marcus & Millichap,Real Estate Management & Development,1.77B
MMLP,Martin Midstream Partners,"Oil, Gas & Consumable Fuels",134.65M
MMM,3M Company,Industrial Conglomerates,105.28B
MMMB,MamaMancini's Holdings,Food Products,80.74M
MMP,Magellan Midstream Partners,"Oil, Gas & Consumable Fuels",11.07B
MMS,Maximus,IT Services,5.30B
MMSI,Merit Medical Systems,Health Care Equipment & Supplies,3.88B
MMX,Maverix Metals,Metals & Mining,729.22M
MMYT,MakeMyTrip,Internet & Direct Marketing Retail,3.19B
MN,Manning & Napier,Capital Markets,172.10M
MNDO,MIND CTI Ltd.,Software,64.55M
MNDT,Mandiant,Software,4.40B
MNDY,monday.com,Software-Application,15.67B
MNKD,MannKind Corporation,Biotechnology,1.03B
MNMD,MindMed,Biotechnology,869.51M
MNOV,MediciNova,Biotechnology,185.10M
MNPR,Monopar Therapeutics,Biotechnology,61.78M
MNR,Monmouth Real Estate Investment,Equity Real Estate Investment Trusts...,1.88B
MNRL,Brigham Minerals,"Oil, Gas & Consumable Fuels",1.19B
MNRO,"Monro, Inc.",Specialty Retail,1.93B
MNSB,MainStreet Bancshares,Banks,182.43M
MNSO,Miniso Group,Specialty Retail,4.95B
MNST,Monster Beverage,Beverages,45.18B
MNTK,Montauk Renewables,Utilities-Diversified,1.65B
MNTS,Momentus,Aerospace & Defense,838.41M
MNTV,Momentive,Software,3.60B
MNTX,Manitex International,Machinery,126.81M
MO,Altria,Tobacco,89.05B
MOD,Modine Manufacturing,Auto Components,619.48M
MODN,Model N,Software,1.16B
MODV,ModivCare,Health Care Providers & Services,2.32B
MOFG,MidWestOne Financial Group,Banks,484.03M
MOG.A,Moog Inc.,Aerospace & Defense,2.56B
MOG.B,Moog Inc.,Aerospace & Defense,2.83B
MOGO,Mogo Inc.,Consumer Finance,375.13M
MOGU,"Mogu, Inc.",Internet & Direct Marketing Retail,95.36M
MOH,Molina Healthcare,Health Care Providers & Services,16.32B
MOHO,ECMOHO Limited,Internet & Direct Marketing Retail,26.47M
MOLN,Molecular Partners,Biotechnology,642.49M
MOMO,Hello Group,Interactive Media & Services,2.59B
MON,Monument Circle Acquisition,Shell Companies,305.62M
MOR,MorphoSys,Biotechnology,1.50B
MORF,Morphic Holding,Biotechnology,2.14B
MORN,Morningstar,Capital Markets,11.85B
MOS,Mosaic Company,Chemicals,15.91B
MOSY,MoSys,Semiconductors & Semiconductor Equipment,46.56M
MOTN,Motion Acquisition,Shell Companies,143.46M
MOTS,Motus GI Holdings,Health Care Equipment & Supplies,29.37M
MOTV,Motive Capital,Shell Companies,515.32M
MOV,Movado Group,"Textiles, Apparel & Luxury Goods",787.61M
MOVE,Movano,Internet Software & Services (discont...,103.56M
MOXC,Moxian,Internet & Direct Marketing Retail,128.04M
MP,MP Materials,Metals & Mining,6.01B
MPAA,Motorcar Parts of America,Auto Components,370.62M
MPAC,Model Performance Acquisition,Shell Companies,10.01M
MPB,Mid Penn Bancorp,Banks,317.85M
MPC,Marathon Petroleum,"Oil, Gas & Consumable Fuels",42.38B
MPLN,MultiPlan,Healthcare Plans,3.11B
MPLX,MPLX LP,"Oil, Gas & Consumable Fuels",31.53B
MPW,Medical Properties Trust,Equity Real Estate Investment Trusts...,12.42B
MPWR,Monolithic Power Systems,Semiconductors & Semiconductor Equipment,22.59B
MPX,Marine Products,Leisure Products,439.20M
MQ,Marqeta,Software-Infrastructure,12.59B
MRAM,Everspin Technologies,Semiconductors & Semiconductor Equipment,117.26M
MRBK,Meridian,Banks,185.24M
MRC,MRC Global,Trading Companies & Distributors,718.36M
MRCC,Monroe Capital,Capital Markets,220.17M
MRCY,Mercury Systems,Aerospace & Defense,2.85B
MREO,Mereo BioPharma Group,Biotechnology,237.41M
MRIN,Marin Software,Software,116.15M
MRK,Merck,Pharmaceuticals,195.66B
MRKR,Marker Therapeutics,Biotechnology,130.43M
MRLN,Marlin Business Services,Diversified Financial Services,267.47M
MRM,Medirom Healthcare,Personal Services,38.56M
MRNA,Moderna,Biotechnology,135.62B
MRNS,Marinus Pharmaceuticals,Pharmaceuticals,405.21M
MRO,Marathon Oil,"Oil, Gas & Consumable Fuels",12.76B
MRSN,Mersana Therapeutics,Biotechnology,607.83M
MRTN,Marten Transport,Road & Rail,1.30B
MRTX,Mirati Therapeutics,Biotechnology,8.96B
MRUS,Merus N.V.,Biotechnology,1.19B
MRVI,Maravai LifeSciences,Biotechnology,5.01B
MRVL,Marvell Technology,Semiconductors & Semiconductor Equipment,54.85B
MS,Morgan Stanley,Capital Markets,187.22B
MSA,MSA Safety,Commercial Services & Supplies,5.93B
