,Symbol,Industry
304,AVT,"Electronic Equipment, Instruments & C..."
305,AVXL,Biotechnology
306,AVY,Containers & Packaging
307,AWH,Health Care Equipment & Supplies
308,AWI,Building Products
309,AWK,Water Utilities
310,AWR,Water Utilities
311,AX,Thrifts & Mortgage Finance
312,AXDX,Life Sciences Tools & Services
313,AXGN,Health Care Equipment & Supplies
314,AXL,Auto Components
315,AXON,Aerospace & Defense
316,AXP,Consumer Finance
317,AXS,Insurance
318,AXSM,Pharmaceuticals
319,AXTA,Chemicals
320,AXTI,Semiconductors & Semiconductor Equipment
321,AXU,Commercial Services & Supplies
322,AY,Independent Power and Renewable Elect...
323,AYI,Electrical Equipment
324,AYRO,Auto Manufacturers
325,AZN,Pharmaceuticals
326,AZO,Specialty Retail
327,AZPN,Software
328,AZRE,Independent Power and Renewable Elect...
329,AZZ,Electrical Equipment
330,B,Machinery
331,BA,Aerospace & Defense
332,BABA,Internet & Direct Marketing Retail
333,BAC,Banks
334,BAH,IT Services
335,BANC,Banks
336,BANF,Banks
337,BANR,Banks
338,BAP,Banks
339,BAX,Health Care Equipment & Supplies
340,BB,Software
341,BBAR,Banks
342,BBBY,Specialty Retail
343,BBD,Banks
344,BBDC,Capital Markets
345,BBGI,Media
346,BBI,Biotechnology
347,BBL,Metals & Mining
348,BBQ,"Hotels, Restaurants & Leisure"
349,BBSI,Professional Services
350,BBU,Construction & Engineering
351,BBVA,Banks
352,BBW,Specialty Retail
353,BBWI,Specialty Retail
354,BBY,Specialty Retail
355,BC,Leisure Products
356,BCBP,Banks
357,BCC,Paper & Forest Products
358,BCE,Diversified Telecommunication Services
359,BCH,Banks
360,BCLI,Biotechnology
361,BCO,Commercial Services & Supplies
362,BCOR,Capital Markets
363,BCOV,IT Services
364,BCPC,Chemicals
365,BCRX,Biotechnology
366,BCS,Banks
367,BDC,"Electronic Equipment, Instruments & C..."
368,BDN,Equity Real Estate Investment Trusts...
369,BDSI,Pharmaceuticals
370,BDX,Health Care Equipment & Supplies
371,BECN,Trading Companies & Distributors
372,BEEM,Electrical Equipment
373,BELFB,"Electronic Equipment, Instruments & C..."
374,BEN,Capital Markets
375,BERY,Containers & Packaging
376,BFAM,Diversified Consumer Services
377,BFIN,Banks
378,BFS,Equity Real Estate Investment Trusts...
379,BG,Food Products
380,BGCP,Capital Markets
381,BGFV,Specialty Retail
382,BGNE,Biotechnology
383,BGS,Food Products
384,BGSF,Professional Services
385,BH,"Hotels, Restaurants & Leisure"
386,BHB,Banks
387,BHC,Pharmaceuticals
388,BHE,"Electronic Equipment, Instruments & C..."
389,BHLB,Banks
390,BHP,Metals & Mining
391,BHR,Equity Real Estate Investment Trusts...
392,BIDU,Interactive Media & Services
393,BIG,Multiline Retail
394,BIIB,Biotechnology
395,BIMI,Machinery
396,BIO,Life Sciences Tools & Services
397,BIOC,Biotechnology
398,BIOL,Health Care Equipment & Supplies
399,BIP,Multi-Utilities
400,BJRI,"Hotels, Restaurants & Leisure"
401,BK,Capital Markets
402,BKCC,Capital Markets
403,BKD,Health Care Providers & Services
404,BKE,Specialty Retail
405,BKEP,"Oil, Gas & Consumable Fuels"
406,BKH,Multi-Utilities
407,BKI,IT Services
408,BKNG,Internet & Direct Marketing Retail
409,BKR,Energy Equipment & Services
410,BKTI,Communications Equipment
411,BKU,Banks
412,BL,Software
413,BLBD,Machinery
414,BLCM,Biotechnology
415,BLD,Household Durables
416,BLDP,Electrical Equipment
417,BLDR,Building Products
418,BLFS,Health Care Equipment & Supplies
419,BLIN,Software
420,BLK,Capital Markets
421,BLKB,Software
422,BLL,Containers & Packaging
423,BLMN,"Hotels, Restaurants & Leisure"
424,BLPH,Health Care Equipment & Supplies
425,BLRX,Biotechnology
426,BLUE,Biotechnology
427,BLX,Diversified Financial Services
428,BMA,Banks
429,BMI,"Electronic Equipment, Instruments & C..."
430,BMO,Banks
431,BMRC,Banks
432,BMRN,Biotechnology
433,BMTC,Banks
434,BMY,Pharmaceuticals
435,BNED,Specialty Retail
436,BNFT,Software
437,BNS,Banks
438,BOH,Banks
439,BOKF,Banks
440,BOOM,Energy Equipment & Services
441,BOOT,Specialty Retail
442,BOSC,Communications Equipment
443,BOX,Software
444,BP,"Oil, Gas & Consumable Fuels"
445,BPMC,Biotechnology
446,BPOP,Banks
447,BPT,"Oil, Gas & Consumable Fuels"
448,BPTH,Biotechnology
449,BR,IT Services
450,BRC,Commercial Services & Supplies
